,music_id,chroma_0_mean,chroma_0_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_centroid_mean,chroma_flux_mean,chroma_max,chroma_min,chroma_spread_mean,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,onset_rate,spectral_centroid_mean,spectral_decrease_mean,spectral_flux_mean,spectral_rolloff_mean,spectral_spread_mean,zcr_mean,zcr_std,category
10,10,574.6878662109375,571.75732421875,704.7286987304688,656.0452270507812,657.6548461914062,561.8849487304689,508.3121948242188,743.6669311523438,538.8646850585939,824.3685302734375,579.718505859375,951.732177734375,598.8143310546875,824.3992309570312,480.4808044433594,724.6167602539062,472.9923095703125,495.3791809082031,837.7220458984375,1677.571044921875,701.689453125,530.1249389648439,816.390380859375,677.5545654296875,6.028317989540743,1826.4932861328125,19099.173828125,8.52803897857666,10.455308800095972,0.8496493101119995,0.51334148645401,0.22173796594142914,0.4660773873329162,-0.044578611850738525,0.4994585812091827,0.023133834823966026,0.4661725759506226,0.2761817872524261,1.1074373722076416,0.3933480679988861,0.8972087502479553,0.26518037915229803,0.8414730429649353,0.4505581259727478,0.6401717066764832,0.17325560748577118,0.6306408643722534,0.1978496760129929,0.6646271347999573,0.5904539227485657,0.5685126781463623,0.3954436779022217,0.5167589783668518,9.329187027987562,44.245238225701215,0.0051100762838881715,2.5223312377929688,1547.3684210526314,4533.160385468308,339.7295465977972,167.38783877866462,2
11,11,89.53739929199219,200.5055694580078,112.45295715332031,236.67437744140625,71.56808471679688,130.79629516601562,84.70372009277344,159.3970947265625,86.34951782226562,141.3555908203125,98.4871063232422,179.4124755859375,132.48577880859378,281.4375,207.9596405029297,524.192138671875,272.2513427734375,807.5629272460938,175.02163696289062,353.298095703125,142.02792358398438,254.1167297363281,162.89608764648438,562.99609375,5.875029161280251,556.2376098632811,12682.849609375,0.2287172079086304,7.566104035108946,0.27354174852371216,0.6674182415008545,-0.012166199274361134,0.6924517750740051,-0.3235223591327667,0.6345427632331848,-0.60785311460495,0.7257582545280457,-0.7249443531036377,1.0744117498397827,-0.8018391728401184,0.7089604735374451,-0.9831096529960632,0.6559820771217346,1.1702415943145752,0.5121373534202576,-0.4024474024772644,0.7067396640777588,-0.08591278642416,0.5636635422706604,-0.2765393853187561,0.6358241438865662,0.33890584111213684,0.6353071331977844,0.5330964015992893,21.97497894449933,-0.1949011961189788,0.4725229442119598,902.6315789473683,675.3741957609117,74.18636943800689,56.61837341206808,0
12,12,787.034423828125,1981.853759765625,1101.87841796875,1637.7877197265625,437.9117431640625,684.989990234375,822.7681884765625,1122.6337890625,734.089599609375,1499.7723388671875,574.3400268554688,997.4613647460938,692.686767578125,674.4680786132812,626.435791015625,675.9635009765625,376.3657531738281,389.33740234375,334.8075866699219,350.2413635253906,585.122802734375,793.8870239257812,1772.3580322265625,2998.92724609375,5.621748434526678,1389.86572265625,13716.390625,5.484826564788818,9.547325046652807,0.06335651874542236,0.5417560338973999,-0.1947505921125412,0.909002721309662,-0.0606684722006321,0.9069483280181884,-0.06692539900541307,0.6464249491691589,-0.4620629549026489,0.9227867126464844,0.044526655226945884,0.6095718741416931,0.07301860302686691,0.592544436454773,1.701161503791809,0.5486814379692078,0.03713681176304817,0.4722675681114197,-0.17737747728824615,0.6492709517478943,0.031616918742656715,0.6081677675247192,-0.07074032723903656,0.6065269708633423,5.9306974677920925,47.29903109562851,-0.08659717017819009,1.922636866569519,2213.59649122807,3234.000445734984,361.8346545531068,197.1832569187673,3
13,13,1154.1539306640625,1631.4244384765625,432.04583740234375,469.4151916503906,569.5285034179688,664.3926391601562,512.5361328125,655.2991943359375,406.9528198242188,658.602783203125,406.8793640136719,583.3455810546875,627.88232421875,594.8683471679688,848.89306640625,888.2254638671875,501.7810363769531,438.48468017578125,695.8403930664062,938.9685668945312,597.0755004882812,750.9696044921875,781.539306640625,1079.9840087890623,5.227207214818255,1471.3017578125,14265.94921875,12.719408988952635,11.403841316113432,0.3298959732055664,0.52877277135849,0.058687437325716026,0.5055987238883972,0.08137014508247375,0.5103441476821899,-0.06495358794927597,0.4459148347377777,0.16653159260749814,0.819502055644989,0.24873916804790494,0.9964804649353028,-1.624359369277954,0.8728061318397522,1.0668693780899048,0.6581560969352722,-1.0946387052536009,0.671946108341217,0.6154316067695618,0.6254176497459412,-0.0202324278652668,0.6156646013259888,0.19771254062652588,0.5277661085128784,5.530875166592627,30.643109176563872,-0.12533740244193148,1.8061312437057493,1289.4736842105262,1033.5424687235975,217.91796857670104,103.29370583901701,1
14,14,580.4080200195312,3012.74951171875,110.51976013183594,171.67347717285156,267.83837890625,973.7783813476562,358.9276428222656,1222.060546875,247.23941040039062,699.548828125,120.58621215820312,266.28143310546875,198.6031494140625,357.3345642089844,139.74671936035156,296.0007629394531,82.20392608642578,252.0550537109375,196.45558166503903,964.4749755859376,165.3273468017578,633.67822265625,166.3911895751953,304.9811706542969,5.078361880092729,1237.71044921875,55202.52734375,8.340969085693361,11.254153656951503,-0.07842014729976654,0.9220342040061952,0.05236386135220528,0.825516939163208,0.1220567375421524,0.8281634449958801,0.10900790244340897,0.7562556266784668,0.21607257425785065,0.7416315674781799,0.036608278751373284,0.5816341638565063,-0.5277982354164124,0.6335886716842651,1.4253960847854614,0.6259610652923584,0.2470275163650513,0.7122604846954346,-0.007192465476691724,0.8649120330810547,-0.15658758580684662,0.9465870857238771,-0.4348999857902527,1.0093650817871094,2.6988005330964016,9.142379634064339,-0.5171492414555974,0.9589524865150452,537.280701754386,458.07380683204974,103.4743035998297,63.40988111031653,0
15,15,558.150634765625,618.4570922851562,472.3935241699219,408.8872375488281,500.5972595214844,431.947021484375,478.3302307128906,485.10302734375,417.05810546875,353.9491271972656,353.49652099609375,293.48529052734375,374.9492492675781,312.5655822753906,330.7744445800781,341.6545104980469,303.266357421875,294.9562072753906,331.4952697753906,308.4713134765625,396.3441162109375,311.7558288574219,489.0028991699219,388.8215637207031,5.537141114221313,1143.2740478515625,6116.01171875,15.430858612060547,12.583355436534063,-0.08060052245855331,0.4920583367347717,-0.1733223795890808,0.4633294641971588,0.5405936241149902,0.40847960114479065,0.09687446057796477,0.3946658670902252,0.2552336156368256,0.8545370101928711,0.2515144944190979,0.7935553193092346,0.600978672504425,0.6205145120620728,1.5850396156311035,0.4903725683689117,0.893530547618866,0.6453268527984619,0.7021406888961792,0.5815027356147766,-0.09578320384025574,0.5091422200202942,0.3680240213871002,0.5332201719284058,6.8969346956908035,23.0559724817089,-0.10041622810106614,1.4241617918014526,580.2631578947368,2320.013714602764,193.42855119423,93.15362935461977,1
16,16,384.1726989746094,557.2161254882811,490.225341796875,706.4120483398438,545.8618774414061,1067.7430419921877,324.5577087402344,488.0364074707031,283.11029052734375,356.26922607421875,278.78097534179693,386.7490539550781,300.6559753417969,399.3951721191406,373.4059753417969,657.7418212890625,372.79925537109375,567.0868530273438,279.16177368164057,374.5363464355469,331.5971374511719,472.4041748046875,409.3390502929688,626.1990356445312,5.75961570832287,826.1177368164062,9652.2138671875,2.658236265182495,11.871293446605465,0.0794977992773056,0.5172266364097595,0.04320826381444931,0.4758443832397461,-0.1189143732190132,0.4544770419597626,0.010705716907978058,0.5168355107307434,-0.2292143404483795,0.9405314922332764,0.3006974756717682,0.5940427184104919,0.1428806036710739,0.4966785609722138,1.3066506385803225,0.4998913109302521,-0.05696173384785652,0.4260471761226654,0.348224937915802,0.446435809135437,0.4388876259326935,0.4364812672138214,0.05083255097270012,0.4546061456203461,4.764549089293649,20.79016308699001,-0.19752173955471894,1.0761394500732422,967.1052631578948,1103.169378936591,154.90214162705846,74.88717451578856,3
17,17,151.85191345214844,228.56130981445312,430.6598510742188,502.33770751953125,206.53086853027344,285.7546081542969,110.22711181640624,126.8646469116211,200.8871917724609,383.1651611328125,265.8749389648437,685.5081787109375,175.67202758789062,244.27931213378903,218.6345672607422,275.63137817382807,134.60977172851562,173.69522094726562,131.89453125,192.3125305175781,139.73234558105472,252.19239807128903,222.09783935546875,271.94998168945307,6.2030474847626325,475.2432861328125,5421.4052734375,15.447709083557127,10.188987710400408,0.08969859778881073,0.7731582522392273,-0.1920613944530487,0.9859733581542968,-0.3973272144794464,0.7747287750244141,-0.4952785670757294,0.5824509263038635,-0.2103351503610611,1.4659005403518677,0.2086172252893448,0.7626267671585083,-0.13241533935070038,0.5445964932441711,1.4734084606170654,0.5461061000823975,0.4514191746711731,0.5036042928695679,0.2567140460014343,0.5006434917449951,0.7425869703292847,0.5001437664031982,0.09162844717502594,0.6231577396392822,3.2318969346956914,6.161813073349711,-0.5563350914192196,0.7641465663909912,107.4561403508772,520.9483668956765,109.49058505559437,81.49936823554981,3
18,18,340.2293395996094,258.65017700195307,386.62994384765625,284.4201354980469,412.9059753417969,348.8124694824219,402.9834899902344,284.16046142578125,602.2955322265625,477.2674255371094,587.5639038085938,404.888671875,597.639892578125,496.6617736816406,433.0294494628906,357.6530456542969,508.078125,416.439208984375,657.8230590820312,492.3837890625,534.2061157226561,347.0035095214844,492.3731994628906,428.194091796875,5.471631887434008,981.6787719726562,3614.727294921875,20.92548370361328,9.867971533525148,-0.03938683494925499,0.4345090389251709,0.08750289678573607,0.4530904293060303,0.01916519179940224,0.4631613194942474,-0.08310507982969284,0.4359947443008423,0.04368630424141884,0.6899340748786926,0.13903310894966125,0.5855059027671814,0.6658622026443481,0.5590492486953735,2.1369676589965816,0.4921355545520783,0.3544004559516907,0.5203849077224731,0.4430850148200989,0.5058360099792479,-0.2644866704940796,0.459493637084961,-0.03011168539524078,0.43860962986946106,8.029764549089293,42.3877801325298,0.017684949214402616,1.64679753780365,1977.1929824561405,2956.0328763852367,285.2261539069912,92.28949411484986,1
19,19,221.2243804931641,544.8812255859375,383.9542846679688,692.8604736328125,211.7762451171875,391.426513671875,183.0839385986328,356.70947265625,331.5650939941406,669.9869384765625,404.619384765625,834.3635864257812,282.556640625,589.8349609375,367.9247741699219,614.1639404296875,215.6139373779297,297.7709045410156,281.08889770507807,593.2150268554688,350.8953552246094,722.2152099609375,277.83139038085943,489.9847717285156,5.821500569532503,825.59033203125,8000.4912109375,0.3172048628330231,8.679994772367284,0.12226714193820952,0.7611792087554932,0.1705508530139923,0.7498081922531128,0.1059860736131668,0.8795569539070129,-0.2614314556121826,0.6444967985153198,-0.3063858151435852,0.9202334880828856,0.03727110475301743,0.7068457603454591,-0.5064668655395508,0.6703509092330933,1.5059248208999634,0.6428134441375732,-0.27095866203308105,0.7797795534133911,0.2751897871494293,0.7231631278991699,-0.28239721059799194,0.6426681876182556,0.12756893038749695,0.676785945892334,2.665482007996446,22.79604291513787,-0.1736251245840954,0.970722496509552,1053.0701754385964,795.3525373530157,113.65796306373377,90.64718502581529,0
